State	Both sexes	Male	Female	Sex ratio	Under 18 years Number	Under 18 years Percent	18 to 44 years Number	18 to 44 years Percent	45 to 64 years Number	45 to 64 years Percent	65 years and over Number	65 years and over Percent	Median age
North Dakota	672,591	339,864	332,727	102.1	149,871	22.3	246,767	36.7	178,476	26.5	97,477	14.5	37.0
Ohio	11,536,504	5,632,156	5,904,348	95.4	2,730,751	23.7	3,989,281	34.6	3,194,457	27.7	1,622,015	14.1	38.8
Oklahoma	3,751,351	1,856,977	1,894,374	98.0	929,666	24.8	1,348,878	36.0	966,093	25.8	506,714	13.5	36.2
Oregon	3,831,074	1,896,002	1,935,072	98.0	866,453	22.6	1,382,447	36.1	1,048,641	27.4	533,533	13.9	38.4
Pennsylvania	12,702,379	6,190,363	6,512,016	95.1	2,792,155	22.0	4,388,169	34.5	3,562,748	28.0	1,959,307	15.4	40.1
Rhode Island	1,052,567	508,400	544,167	93.4	223,956	21.3	383,791	36.5	292,939	27.8	151,881	14.4	39.4
South Carolina	4,625,364	2,250,101	2,375,263	94.7	1,080,474	23.4	1,669,793	36.1	1,243,223	26.9	631,874	13.7	37.9
South Dakota	814,180	407,381	406,799	100.1	202,797	24.9	280,080	34.4	214,722	26.4	116,581	14.3	36.9
Tennessee	6,346,105	3,093,504	3,252,601	95.1	1,496,001	23.6	2,284,491	36.0	1,712,151	27.0	853,462	13.4	38.0
Texas	25,145,561	12,472,280	12,673,281	98.4	6,865,824	27.3	9,644,824	38.4	6,033,027	24.0	2,601,886	10.3	33.6
Utah	2,763,885	1,388,317	1,375,568	100.9	871,027	31.5	1,096,191	39.7	547,205	19.8	249,462	9.0	29.2
Vermont	625,741	308,206	317,535	97.1	129,233	20.7	212,854	34.0	192,576	30.8	91,078	14.6	41.5
Virginia	8,001,024	3,925,983	4,075,041	96.3	1,853,677	23.2	3,001,446	37.5	2,168,964	27.1	976,937	12.2	37.5
Washington	6,724,540	3,349,707	3,374,833	99.3	1,581,354	23.5	2,492,139	37.1	1,823,370	27.1	827,677	12.3	37.3
West Virginia	1,852,994	913,586	939,408	97.3	387,418	20.9	627,191	33.8	540,981	29.2	297,404	16.0	41.3
Wisconsin	5,686,986	2,822,400	2,864,586	98.5	1,339,492	23.6	1,996,616	35.1	1,573,564	27.7	777,314	13.7	38.5
Wyoming	563,626	287,437	276,189	104.1	135,402	24.0	201,044	35.7	157,090	27.9	70,090	12.4	36.8
Puerto Rico	3,725,789	1,785,171	1,940,618	92.0	903,295	24.2	1,351,005	36.3	929,491	24.9	541,998	14.5	36.9
