hcpcs_code,hcpcs_description,year,bene_unique_cnt,line_srvc_cnt
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,2014,266808.0,268679.0
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,2015,250023.0,251779.0
00792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,2012,186.0,186.0
00792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,2013,146.0,147.0
00792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,2014,95.0,95.0
00792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,2015,105.0,105.0
00794,Anesthesia for partial or total removal of pancreas including use of an endoscope,2012,300.0,301.0
00794,Anesthesia for partial or total removal of pancreas including use of an endoscope,2013,280.0,281.0
00794,Anesthesia for removal of pancreas including use of an endoscope,2014,223.0,223.0
00794,Anesthesia for removal of pancreas including use of an endoscope,2015,191.0,191.0
00796,Anesthesia for liver transplant recipient including use of an endoscope,2012,37.0,45.0
00796,Anesthesia for liver transplant recipient including use of an endoscope,2013,76.0,88.0
00796,Anesthesia for liver transplant recipient including use of an endoscope,2014,17.0,22.0
00796,Anesthesia for liver transplant recipient including use of an endoscope,2015,61.0,69.0
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,2012,3986.0,4010.0
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,2013,5571.0,5609.0
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,2014,4638.0,4663.0
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,2015,4091.0,4123.0
0079T,Insertion of prosthesis to repair a bulging defect of abdominal aorta and organ artery,2012,78.0,198.0
0079T,Insertion of prosthesis to repair a bulging defect of abdominal aorta and organ artery,2013,142.0,409.0
00800,Anesthesia for procedure on lower front abdominal wall,2012,72.0,75.0
00800,Anesthesia for procedure on lower front abdominal wall,2013,88.0,94.0
00800,Anesthesia for procedure on lower front abdominal wall,2014,39.0,39.0
00800,Anesthesia for procedure on lower front abdominal wall,2015,44.0,48.0
0080T,Insertion of modular bifurcated prosthesis to repair a bulging defect of the abdominal aorta and/or organ artery,2012,78.0,79.0
0080T,Insertion of modular bifurcated prosthesis to repair a bulging defect of the abdominal aorta and/or organ artery,2013,120.0,120.0
00810,Anesthesia for procedure on lower intestine using an endoscope,2013,1856920.0,1868407.0
00810,Anesthesia for procedure on lower intestine using an endoscope,2014,1930975.0,1942500.0
00810,Anesthesia for procedure on lower intestine using an endoscope,2015,2093683.0,2106406.0
00810,Anesthesia for procedure on small bowel using an endoscope,2012,1730502.0,1741614.0
0081T,Insertion of modular bifurcated prosthesis to repair a bulging defect of the abdominal aorta and organ artery,2012,77.0,201.0
0081T,Insertion of modular bifurcated prosthesis to repair a bulging defect of the abdominal aorta and organ artery,2013,120.0,330.0
00820,Anesthesia for procedure on lower rear abdominal wall,2012,58.0,59.0
00820,Anesthesia for procedure on lower rear abdominal wall,2013,17.0,17.0
00830,Anesthesia for lower abdominal hernia repair,2012,15690.0,15784.0
00830,Anesthesia for lower abdominal hernia repair,2013,13831.0,13888.0
00830,Anesthesia for lower abdominal hernia repair,2014,12289.0,12340.0
00830,Anesthesia for lower abdominal hernia repair,2015,9987.0,10021.0
00832,Anesthesia for middle or incisional abdominal hernia repair,2012,270.0,272.0
00832,Anesthesia for middle or incisional abdominal hernia repair,2013,189.0,190.0
00832,Anesthesia for middle or incisional abdominal hernia repair,2014,243.0,243.0
00832,Anesthesia for middle or incisional abdominal hernia repair,2015,191.0,191.0
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,2012,73239.0,73854.0
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,2013,73533.0,74195.0
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,2014,67548.0,68107.0
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,2015,68718.0,69244.0
00844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,2012,15.0,15.0
00844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,2013,34.0,34.0
00844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,2014,11.0,11.0
00844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,2015,12.0,12.0
00846,Anesthesia for removal of uterus including use of an endoscope,2012,124.0,125.0
00846,Anesthesia for removal of uterus including use of an endoscope,2013,112.0,112.0
00846,Anesthesia for removal of uterus including use of an endoscope,2014,92.0,92.0
00846,Anesthesia for removal of uterus including use of an endoscope,2015,97.0,97.0
00860,Anesthesia for procedure in lower abdomen including urinary tract,2012,3683.0,3747.0
00860,Anesthesia for procedure in lower abdomen including urinary tract,2013,3004.0,3060.0
00860,Anesthesia for procedure in lower abdomen including urinary tract,2014,2532.0,2596.0
00860,Anesthesia for procedure in lower abdomen including urinary tract,2015,2330.0,2390.0
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,2014,3723.0,3810.0
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,2015,2762.0,2823.0
00862,Anesthesia for removal of kidney for transplant,2012,3687.0,3764.0
00862,Anesthesia for removal of kidney for transplant,2013,4355.0,4430.0
00864,Anesthesia for removal of urinary bladder,2012,171.0,171.0
00864,Anesthesia for removal of urinary bladder,2013,116.0,116.0
00864,Anesthesia for removal of urinary bladder,2014,135.0,135.0
00864,Anesthesia for removal of urinary bladder,2015,228.0,228.0
00865,Anesthesia for removal of prostate,2012,1803.0,1805.0
00865,Anesthesia for removal of prostate,2013,1719.0,1725.0
00865,Anesthesia for removal of prostate,2014,1577.0,1578.0
00865,Anesthesia for removal of prostate,2015,1705.0,1705.0
00868,Anesthesia for kidney transplant,2012,889.0,889.0
00868,Anesthesia for kidney transplant,2013,973.0,973.0
00868,Anesthesia for kidney transplant,2014,925.0,925.0
00868,Anesthesia for kidney transplant,2015,1139.0,1141.0
00870,Anesthesia for removal of urinary bladder stone,2012,100.0,106.0
00870,Anesthesia for removal of urinary bladder stone,2013,35.0,35.0
00870,Anesthesia for removal of urinary bladder stone,2014,64.0,66.0
00870,Anesthesia for removal of urinary bladder stone,2015,50.0,51.0
00872,Anesthesia for shock wave therapy for urinary system stones,2012,1271.0,1374.0
00872,Anesthesia for shock wave therapy for urinary system stones,2013,1040.0,1111.0
00872,Anesthesia for shock wave therapy for urinary system stones,2014,1023.0,1094.0
00872,Anesthesia for shock wave therapy for urinary system stones,2015,906.0,936.0
00873,Anesthesia for shock wave therapy for urinary system stones,2012,15698.0,16922.0
00873,Anesthesia for shock wave therapy for urinary system stones,2013,16520.0,17797.0
00873,Anesthesia for shock wave therapy for urinary system stones,2014,18986.0,20268.0
00873,Anesthesia for shock wave therapy for urinary system stones,2015,17089.0,18215.0
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,2012,37.0,37.0
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,2013,107.0,107.0
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,2014,112.0,113.0
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,2015,129.0,129.0
00882,Anesthesia for tying of major vein in lower abdomen,2012,70.0,70.0
00882,Anesthesia for tying of major vein in lower abdomen,2013,11.0,11.0
00902,Anesthesia for procedure on anus and rectum,2012,15625.0,16048.0
00902,Anesthesia for procedure on anus and rectum,2013,14838.0,15226.0
00902,Anesthesia for procedure on anus and rectum,2014,13697.0,14062.0
00902,Anesthesia for procedure on anus and rectum,2015,13346.0,13677.0
00904,Anesthesia for procedure on perineum,2013,13.0,15.0
00904,Anesthesia for procedure on perineum,2015,12.0,12.0
00906,Anesthesia for removal of external female genitalia,2015,17.0,17.0
00910,Anesthesia for procedure on urinary system including use of an endoscope,2012,170226.0,176987.0
00910,Anesthesia for procedure on urinary system including use of an endoscope,2013,172092.0,179206.0
00910,Anesthesia for procedure on urinary system including use of an endoscope,2014,172042.0,179043.0
