HCPCS_CODE,HCPCS_DESCRIPTION,YEAR,NUMBER_OF_SUPPLIER_BENEFICIARIES,NUMBER_OF_SUPPLIER_CLAIMS
A4398,"Ostomy irrigation supply; bag, each",2015,0.0,13.0
A4399,"Ostomy irrigation supply; cone/catheter, with or without brush",2013,0.0,57.0
A4399,"Ostomy irrigation supply; cone/catheter, with or without brush",2014,0.0,34.0
A4399,"Ostomy irrigation supply; cone/catheter, with or without brush",2015,0.0,13.0
A4402,"Lubricant, per ounce",2013,2229.0,50491.0
A4402,"Lubricant, per ounce",2014,2016.0,48355.0
A4402,"Lubricant, per ounce",2015,1685.0,47499.0
A4404,"Ostomy ring, each",2013,0.0,299.0
A4404,"Ostomy ring, each",2014,0.0,211.0
A4404,"Ostomy ring, each",2015,0.0,104.0
A4405,"Ostomy skin barrier, non-pectin based, paste, per ounce",2013,0.0,1558.0
A4405,"Ostomy skin barrier, non-pectin based, paste, per ounce",2014,0.0,1263.0
A4405,"Ostomy skin barrier, non-pectin based, paste, per ounce",2015,0.0,1116.0
A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",2013,2331.0,51304.0
A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",2014,1898.0,45576.0
A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",2015,1792.0,41864.0
A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each",2013,2369.0,54722.0
A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each",2014,2568.0,55345.0
A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each",2015,2682.0,54502.0
A4408,"Ostomy skin barrier, wtih flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each",2013,12.0,1301.0
A4408,"Ostomy skin barrier, wtih flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each",2014,24.0,1286.0
A4408,"Ostomy skin barrier, wtih flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each",2015,30.0,1105.0
A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",2013,2154.0,55343.0
A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",2014,2366.0,56216.0
A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",2015,2440.0,55933.0
A4410,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each",2013,0.0,1772.0
A4410,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each",2014,0.0,1276.0
A4410,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each",2015,0.0,1232.0
A4411,"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, with built-in convexity, each",2013,12.0,1025.0
A4411,"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, with built-in convexity, each",2014,26.0,1166.0
A4411,"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, with built-in convexity, each",2015,48.0,1400.0
A4412,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each",2013,0.0,407.0
A4412,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each",2014,0.0,604.0
A4412,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each",2015,0.0,514.0
A4413,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each",2013,0.0,917.0
A4413,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each",2014,0.0,1105.0
A4413,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each",2015,0.0,1184.0
A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",2013,1013.0,71001.0
A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",2014,839.0,65451.0
A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",2015,708.0,59539.0
A4415,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4x4 inches, each",2013,0.0,2835.0
A4415,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4x4 inches, each",2014,0.0,2347.0
A4415,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4x4 inches, each",2015,0.0,2450.0
A4416,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",2013,0.0,7177.0
A4416,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",2014,0.0,6488.0
A4416,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",2015,11.0,5088.0
A4417,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each",2013,0.0,1255.0
A4417,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each",2014,14.0,1331.0
A4417,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each",2015,0.0,1716.0
A4418,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",2013,0.0,497.0
A4418,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",2014,0.0,491.0
A4418,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",2015,0.0,412.0
A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each",2013,371.0,24841.0
A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each",2014,370.0,24909.0
A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each",2015,285.0,24144.0
A4421,Ostomy supply; miscellaneous,2013,0.0,11.0
A4421,Ostomy supply; miscellaneous,2014,0.0,24.0
A4421,Ostomy supply; miscellaneous,2015,0.0,13.0
A4422,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each",2013,0.0,127.0
A4422,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each",2014,0.0,141.0
A4422,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each",2015,0.0,143.0
A4423,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each",2013,0.0,1128.0
A4423,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each",2014,0.0,1221.0
A4423,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each",2015,0.0,1032.0
A4424,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",2013,77.0,6493.0
A4424,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",2014,129.0,7475.0
A4424,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",2015,159.0,7484.0
A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",2013,1257.0,38854.0
A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",2014,1391.0,40785.0
A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",2015,1617.0,40362.0
A4426,"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each",2013,0.0,368.0
